ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
8,8,3,32,1024,50,3,5242880,20,4,6,315.699,1424.14,2.51
8,8,3,32,1024,50,4,1048576,20,4,6,317.824,1414.62,2.57
8,8,3,32,1024,50,4,5242880,20,4,6,313.002,1436.41,2.57
8,8,3,32,1024,256,1,1048576,20,4,6,327.873,1371.26,2.15
8,8,3,32,1024,256,1,5242880,20,4,6,327.524,1372.72,2.15
8,8,3,32,1024,256,2,1048576,20,4,6,325.653,1380.61,2.20
8,8,3,32,1024,256,2,5242880,20,4,6,323.934,1387.94,2.20
8,8,3,32,1024,256,3,1048576,20,4,6,324.716,1384.59,2.22
8,8,3,32,1024,256,3,5242880,20,4,6,328.133,1370.17,2.22
8,8,3,32,1024,256,4,1048576,20,4,6,329.059,1366.32,2.25
8,8,3,32,1024,256,4,5242880,20,4,6,325.951,1379.35,2.25
8,8,3,96,256,10,1,1048576,20,4,6,92.960,4836.49,2.90
8,8,3,96,256,10,1,5242880,20,4,6,93.487,4809.23,2.90
8,8,3,96,256,10,2,1048576,20,4,6,94.023,4781.81,2.77
8,8,3,96,256,10,2,5242880,20,4,6,102.318,4394.15,2.77
8,8,3,96,256,10,3,1048576,20,4,6,93.218,4823.11,2.81
8,8,3,96,256,10,3,5242880,20,4,6,97.054,4632.48,2.81
8,8,3,96,256,10,4,1048576,20,4,6,95.748,4695.66,2.86
8,8,3,96,256,10,4,5242880,20,4,6,95.247,4720.36,2.86
8,8,3,96,256,50,1,1048576,20,4,6,102.698,4377.89,2.37
8,8,3,96,256,50,1,5242880,20,4,6,96.222,4672.53,2.37
8,8,3,96,256,50,2,1048576,20,4,6,98.046,4585.61,2.38
8,8,3,96,256,50,2,5242880,20,4,6,95.750,4695.57,2.38
8,8,3,96,256,50,3,1048576,20,4,6,104.277,4311.60,2.41
8,8,3,96,256,50,3,5242880,20,4,6,98.053,4585.28,2.41
8,8,3,96,256,50,4,1048576,20,4,6,104.832,4288.77,2.43
8,8,3,96,256,50,4,5242880,20,4,6,105.502,4261.54,2.43
8,8,3,96,256,256,1,1048576,20,4,6,111.110,4046.44,2.15
8,8,3,96,256,256,1,5242880,20,4,6,106.363,4227.04,2.15
8,8,3,96,256,256,2,1048576,20,4,6,105.839,4247.97,2.15
8,8,3,96,256,256,2,5242880,20,4,6,112.857,3983.81,2.15
8,8,3,96,256,256,3,1048576,20,4,6,112.995,3978.94,2.15
8,8,3,96,256,256,3,5242880,20,4,6,108.531,4142.60,2.15
8,8,3,96,256,256,4,1048576,20,4,6,110.374,4073.43,2.15
8,8,3,96,256,256,4,5242880,20,4,6,111.115,4046.26,2.15
8,8,3,96,1024,10,1,1048576,20,4,6,333.299,1348.94,3.04
8,8,3,96,1024,10,1,5242880,20,4,6,331.902,1354.61,3.04
8,8,3,96,1024,10,2,1048576,20,4,6,331.363,1356.82,2.88
8,8,3,96,1024,10,2,5242880,20,4,6,332.753,1351.15,2.88
8,8,3,96,1024,10,3,1048576,20,4,6,333.061,1349.90,2.89
8,8,3,96,1024,10,3,5242880,20,4,6,330.304,1361.17,2.89
8,8,3,96,1024,10,4,1048576,20,4,6,333.176,1349.43,3.00
8,8,3,96,1024,10,4,5242880,20,4,6,332.814,1350.90,3.00
8,8,3,96,1024,50,1,1048576,20,4,6,337.015,1334.06,2.40
8,8,3,96,1024,50,1,5242880,20,4,6,336.549,1335.91,2.40
8,8,3,96,1024,50,2,1048576,20,4,6,335.603,1339.68,2.44
8,8,3,96,1024,50,2,5242880,20,4,6,334.310,1344.86,2.44
8,8,3,96,1024,50,3,1048576,20,4,6,338.057,1329.95,2.51
8,8,3,96,1024,50,3,5242880,20,4,6,330.162,1361.75,2.51
8,8,3,96,1024,50,4,1048576,20,4,6,335.338,1340.73,2.57
8,8,3,96,1024,50,4,5242880,20,4,6,338.741,1327.27,2.57
8,8,3,96,1024,256,1,1048576,20,4,6,349.502,1286.40,2.15
8,8,3,96,1024,256,1,5242880,20,4,6,348.828,1288.89,2.15
8,8,3,96,1024,256,2,1048576,20,4,6,348.415,1290.41,2.20
8,8,3,96,1024,256,2,5242880,20,4,6,345.123,1302.72,2.20
8,8,3,96,1024,256,3,1048576,20,4,6,346.590,1297.21,2.22
8,8,3,96,1024,256,3,5242880,20,4,6,348.259,1290.99,2.22
8,8,3,96,1024,256,4,1048576,20,4,6,348.349,1290.66,2.25
8,8,3,96,1024,256,4,5242880,20,4,6,348.203,1291.20,2.25
8,8,5,32,256,10,1,1048576,20,4,6,124.858,3600.89,2.91
8,8,5,32,256,10,1,5242880,20,4,6,133.729,3362.03,2.91
8,8,5,32,256,10,2,1048576,20,4,6,125.204,3590.94,2.76
8,8,5,32,256,10,2,5242880,20,4,6,127.180,3535.15,2.76
8,8,5,32,256,10,3,1048576,20,4,6,132.804,3385.44,2.81
8,8,5,32,256,10,3,5242880,20,4,6,125.377,3585.99,2.81
8,8,5,32,256,10,4,1048576,20,4,6,125.427,3584.56,2.86
8,8,5,32,256,10,4,5242880,20,4,6,122.167,3680.21,2.86
8,8,5,32,256,50,1,1048576,20,4,6,126.775,3546.44,2.36
8,8,5,32,256,50,1,5242880,20,4,6,130.203,3453.07,2.36
8,8,5,32,256,50,2,1048576,20,4,6,128.425,3500.88,2.38
8,8,5,32,256,50,2,5242880,20,4,6,125.860,3572.23,2.38
8,8,5,32,256,50,3,1048576,20,4,6,134.810,3335.07,2.41
8,8,5,32,256,50,3,5242880,20,4,6,136.609,3291.15,2.41
8,8,5,32,256,50,4,1048576,20,4,6,132.843,3384.45,2.43
8,8,5,32,256,50,4,5242880,20,4,6,134.571,3340.99,2.43
8,8,5,32,256,256,1,1048576,20,4,6,140.744,3194.45,2.15
8,8,5,32,256,256,1,5242880,20,4,6,131.823,3410.64,2.15
8,8,5,32,256,256,2,1048576,20,4,6,140.942,3189.97,2.15
